bedrooms,rent,sqft,date,longitude,latitude
3.0,1570.0,1154.0,2014-05-11,-117.187042,33.712346000000004
,140.0,,2014-05-11,-117.5182,34.1705
2.0,1206.0,,2014-05-11,-117.4867,33.9228
1.0,1485.0,682.0,2014-05-11,-117.5941,34.107
2.0,850.0,,2014-05-11,-117.235074,34.128609999999995
2.0,850.0,,2014-05-11,-117.235074,34.128609999999995
2.0,850.0,,2014-05-11,-117.235074,34.128609999999995
2.0,850.0,,2014-05-11,-117.235074,34.128609999999995
1.0,1270.0,792.0,2014-05-11,-117.240621,33.597703
2.0,1745.0,1134.0,2014-05-11,-117.1824,33.4903
3.0,1000.0,925.0,2014-05-11,-117.279541,33.746472
2.0,895.0,,2014-05-11,-117.381964,33.984969
1.0,825.0,,2014-05-11,-117.673435,34.064683
1.0,825.0,,2014-05-11,-117.673435,34.064715
2.0,1280.0,1078.0,2014-05-11,-117.175329,33.932567
2.0,1200.0,,2014-05-11,-117.6583,34.1144
2.0,1395.0,1125.0,2014-05-11,-117.117004,33.476843
5.0,1795.0,2581.0,2014-05-11,-117.155156,33.6813
2.0,1370.0,1140.0,2014-05-11,-117.167256,34.069599
2.0,1370.0,1140.0,2014-05-11,-117.167256,34.069599
3.0,1950.0,1782.0,2014-05-11,-117.238981,34.054464
3.0,1350.0,1350.0,2014-05-11,-117.391896,33.975652000000004
1.0,950.0,620.0,2014-05-11,-117.391896,33.975652000000004
2.0,1060.0,,2014-05-11,-117.2874,34.0315
3.0,1150.0,,2014-05-11,-116.953055,33.73685
1.0,935.0,700.0,2014-05-11,-117.523649,33.892149
3.0,1600.0,1225.0,2014-05-11,-117.698939,34.086240000000004
3.0,1450.0,1353.0,2014-05-11,-117.189365,33.583931
2.0,1744.0,923.0,2014-05-11,-117.815605,34.00157100000001
2.0,845.0,839.0,2014-05-11,-116.967257,33.762219
1.0,936.0,724.0,2014-05-11,-117.462447,33.906748
2.0,1470.0,1087.0,2014-05-11,-117.57195,34.076728
2.0,1852.0,1031.0,2014-05-11,-117.548288,34.113471999999994
1.0,860.0,,2014-05-11,-117.2874,34.0315
1.0,1186.0,700.0,2014-05-11,-117.613937,34.132309
2.0,1714.0,1198.0,2014-05-11,-117.578484,34.104621
2.0,1395.0,1125.0,2014-05-11,-117.117004,33.476843
3.0,1835.0,1330.0,2014-05-11,-117.564697,34.108962
1.0,670.0,569.0,2014-05-11,-116.967257,33.762219
1.0,675.0,,2014-05-11,-116.8899,33.9282
1.0,1177.0,714.0,2014-05-11,-117.309198,33.945845
4.0,1199.0,1220.0,2014-05-11,-117.2944,34.5016
2.0,1260.0,796.0,2014-05-11,-117.62878700000002,34.09391
2.0,1372.0,1109.0,2014-05-11,-117.264,33.6021
3.0,1295.0,1500.0,2014-05-11,-118.3409,34.8664
3.0,1200.0,,2014-05-11,-117.345238,34.444042
2.0,1518.0,942.0,2014-05-11,-117.315114,33.953457
2.0,1245.0,,2014-05-11,-117.299885,34.41208
1.0,999.0,704.0,2014-05-11,-117.62878700000002,34.09391
3.0,1395.0,1369.0,2014-05-11,-117.444483,33.926175
2.0,1245.0,,2014-05-11,-117.299885,34.41208
4.0,2745.0,2200.0,2014-05-11,-117.7308,33.9797
2.0,725.0,850.0,2014-05-11,-117.211522,34.132753
2.0,725.0,880.0,2014-05-11,-117.211522,34.132753
1.0,999.0,704.0,2014-05-11,-117.62878700000002,34.09391
2.0,1355.0,1139.0,2014-05-11,-117.1783,33.569
4.0,1959.0,1834.0,2014-05-11,-117.384087,33.695803999999995
2.0,1395.0,1125.0,2014-05-11,-117.117004,33.476843
3.0,1900.0,1200.0,2014-05-11,-117.747002,34.014076
,1055.0,521.0,2014-05-11,-117.578945,34.099439000000004
3.0,1589.0,1465.0,2014-05-11,-117.907456,34.075609
2.0,912.0,880.0,2014-05-11,-117.0151,33.7399
2.0,1320.0,1050.0,2014-05-11,-117.59316,33.865749
4.0,1900.0,2500.0,2014-05-11,-117.303,33.6927
1.0,1255.0,792.0,2014-05-11,-117.138205,33.511289
,1157.0,475.0,2014-05-11,-117.563775,34.118162
4.0,1179.0,1222.0,2014-05-11,-117.2944,34.5016
5.0,1500.0,2662.0,2014-05-11,-117.4075,34.4239
,,,2014-05-11,-117.223402,34.048379
,,,2014-05-11,-117.259624,34.146772
3.0,2020.0,1115.0,2014-05-11,-117.770685,34.115103000000005
3.0,1700.0,1600.0,2014-05-11,-117.23345,33.582486
2.0,800.0,1500.0,2014-05-11,-117.3025,34.4222
1.0,695.0,,2014-05-11,-117.333585,34.511883000000005
1.0,1195.0,853.0,2014-05-11,-117.117519,33.47627
3.0,1150.0,,2014-05-11,-116.953055,33.73685
5.0,2195.0,2350.0,2014-05-11,-117.47399999999999,33.7541
1.0,1130.0,685.0,2014-05-11,-117.521824,33.892614
3.0,750.0,700.0,2014-05-11,-121.4444,38.3774
2.0,1357.0,1001.0,2014-05-11,-117.5793,34.1449
3.0,1445.0,1109.0,2014-05-11,-117.6404,33.954
